name,slug,blind75,nc150,grind75,grind169,premium
Two Sum,two-sum,true,true,true,true,false
Contains Duplicate,contains-duplicate,true,true,true,true,false
Valid Anagram,valid-anagram,true,true,true,true,false
Ransom Note,ransom-note,false,false,true,true,false
Majority Element,majority-element,false,false,true,true,false
Longest Palindrome,longest-palindrome,false,false,true,true,false
Group Anagrams,group-anagrams,true,true,false,true,false
Top K Frequent Elements,top-k-frequent-elements,true,true,false,false,false
Product of Array Except Self,product-of-array-except-self,true,true,true,true,false
Encode and Decode Strings,encode-and-decode-strings,true,true,false,true,true
Longest Consecutive Sequence,longest-consecutive-sequence,true,true,false,true,false
Valid Sudoku,valid-sudoku,false,true,false,true,false
Valid Palindrome,valid-palindrome,true,true,true,true,false
3Sum,3sum,true,true,true,true,false
Container With Most Water,container-with-most-water,true,true,true,true,false
Sort Colors,sort-colors,false,false,true,true,false
Two Sum II,two-sum-ii-input-array-is-sorted,false,true,false,false,false
Trapping Rain Water,trapping-rain-water,false,true,true,true,false
Best Time to Buy and Sell Stock,best-time-to-buy-and-sell-stock,true,true,true,true,false
Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,true,true,true,true,false
Find All Anagrams in a String,find-all-anagrams-in-a-string,false,false,true,true,false
Longest Repeating Character Replacement,longest-repeating-character-replacement,true,true,false,true,false
Minimum Window Substring,minimum-window-substring,true,true,true,true,false
Permutation in String,permutation-in-string,false,true,false,false,false
Sliding Window Maximum,sliding-window-maximum,false,true,false,true,false
Valid Parentheses,valid-parentheses,true,true,true,true,false
Implement Queue using Stacks,implement-queue-using-stacks,false,false,true,true,false
Min Stack,min-stack,false,true,true,true,false
Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,false,true,true,true,false
Basic Calculator,basic-calculator,false,false,true,true,false
Generate Parentheses,generate-parentheses,false,true,false,true,false
Daily Temperatures,daily-temperatures,false,true,false,true,false
Car Fleet,car-fleet,false,true,false,false,false
Largest Rectangle in Histogram,largest-rectangle-in-histogram,false,true,true,true,false
Binary Search,binary-search,false,true,true,true,false
First Bad Version,first-bad-version,false,false,true,true,false
Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,true,true,false,true,false
Search in Rotated Sorted Array,search-in-rotated-sorted-array,true,true,true,true,false
Search a 2D Matrix,search-a-2d-matrix,false,true,false,true,false
Koko Eating Bananas,koko-eating-bananas,false,true,false,false,false
Time Based Key-Value Store,time-based-key-value-store,false,true,true,true,false
Median of Two Sorted Arrays,median-of-two-sorted-arrays,false,true,false,true,false
Reverse Linked List,reverse-linked-list,true,true,true,true,false
Merge Two Sorted Lists,merge-two-sorted-lists,true,true,true,true,false
Middle of the Linked List,middle-of-the-linked-list,false,false,true,true,false
Reorder List,reorder-list,true,true,false,true,false
Remove Nth Node From End of List,remove-nth-node-from-end-of-list,true,true,false,true,false
Merge K Sorted Lists,merge-k-sorted-lists,true,true,true,true,false
Linked List Cycle,linked-list-cycle,true,true,true,true,false
